가축분뇨전자인계관리시스템_업체 신고허가서 정보	가축분뇨 전자인계관리시스에서 관리하고 있는 업체 신고허가서 정보(업체번호, 신고허가사용자구분, 주소 등).
가축분뇨전자인계관리시스템_계약농가 조사서	가축분뇨 전자인계관리시스템에서 관리하고 있는 계약농가 조사서(운반처리업체번호, 업체번호, 주소, 축종코드 등)으로 등록된 정보.
가축분뇨전자인계관리시스템_분뇨마감인계서	가축분뇨전자인계관리시스템에서 관리하고있는 가축분뇨 중 분뇨의 마감된 전자인계 내역 정보로 등록된 데이터.
가축분뇨전자인계관리시스템_분뇨 운반인계서	가축분뇨 전자인계관리시스템에서 관리하고 있는 가축분뇨 중 분뇨 운반인계서로 등록된 정보(운반업체번호, 인수일자)인수량 등).
가축분뇨전자인계관리시스템_초지농경지 정보(신고허가)	가축분뇨 전자인계관리시스템에서 관리하고 있는 가축분뇨 중 액비를 살포할 수있는 초지 농경지 정보로 신고 허가한 데이터.
가축분뇨전자인계관리시스템_업체 신고허가서 신청정보	가축분뇨 전자인계관리시스템에서 관리하고 있는 등록 업체의 신고 허가서 신청한 정보(신고허가사용자구분, 허가구분 등)으로 등록되어 있는 데이터.
가축분뇨전자인계관리시스템_액비 운반인계서	가축분뇨 전자인계관리시스템에서 관리하고 있는 가축 분뇨 중 액비를 운반하는 인계서 내역에 대하여 등록된 정보.
가축분뇨전자인계관리시스템_업체보유 처리방법	가축분뇨 전자인계관리시스템에서 관리하고 있는 가축분뇨 업체 보유 처리방법(업체번호, 순번 등)으로 등록된 정보.
가축분뇨전자인계관리시스템_액비 배출및처리 계획	가축분뇨 전자인계관리시스템에서 관리하고 있는 액비 배출 및 처리계획으로 등록된 정보(업체번호, 배출물코드, 처리방법코드, 운반업체번호 등).
가축분뇨전자인계관리시스템_전자인계서 작성내역 확인	가축분뇨 전자인계관리시스템에서 관리하고 있는 전자인계서 작성내역 확인하는 정보(확인순번, 날짜, 등록일자 등).
가축분뇨전자인계관리시스템_가축분뇨 배출시설 신고허가 축종	가축분뇨 전자인계관리시스템에서 관리하고 있는 가축분뇨 배출시설의 신고허가 축종으로 등록된 정보(업체번호, 축종, 두수 등).
유해화학물질 취급시설 검사_기타 시스템 관리	유해화학물질 취급시설 검사 관리 시스템 기타 시스템관리 코드의 산업분류 테이블 (업종분류아이디, 분류코드, 업종분류명, 업종분류영문명, 부모_아이디, 순서, 사용여부, 레벨).
유해화학물질 취급시설 검사_검사 항목 분류	유해화학물질 취급시설 관리시스템의 검사항목분류 방법 (검사항목대분류, 검사항목중분류, 검사문항, 검사방법, 검사적용방법별 검사방법).
영농폐기물조사	국내 영농폐기물의 발생 실태를 파악하여, 영농폐기물 정책 수행에 필요한 기초자료를 제공- 영농 하우스 폐비닐 발생량- 영농 노지멀칭 폐비닐 발생량- 영농 폐농약용기 발생량- 영농 폐비닐 및 폐농약용기 수거량, 재활용량.
운행자동차 저감장치 사업현황	노후 경유차에서 발생하는 대기오염물질을 줄이기 위한 저감장치를 제작하는 저감장치 제작사 현황자료(저감장치 제작사 연락처, 주소 정보 등).
폐기물처분부담금_신고이력정보(실적)	폐기물처분부담금관리시스템 내 등록되어진 데이터로 재활용 및 폐기물처분부담금 신고한 내역에 대한 정보를 제공.
다중이용시설 시설정보	한국환경공단에서 운영하는 실내공기질 관리 종합정보망에 등록된 다중이용시설 연도별 대상 목록 정보를 제공.
폐기물처분부담금_디지털 회계정보	폐기물처분부담금시스템 내 폐기물처분부담금 신고한 내역에 대해서 폐기물처분부담금 부과 고지를 위한 정보.
폐기물처분부담금_관할지역 정보	폐기물처분부담금시스템 내 폐기물처분부담금 정기, 수시 신고시 해당 관할지역별로 관리를 위해 관리하는 정보.
